Date,Open,High,Low,Close,Volume,Adj Close
23/09/2014,42,42.16,41.88,41.89,10251300,41.26007
22/09/2014,41.85,42.25,41.73,42.22,11518100,41.58511
19/09/2014,41.98,42.35,41.75,42.05,47559700,41.41767
18/09/2014,41.75,41.88,41.55,41.79,12586400,41.16158
17/09/2014,41.77,41.78,41.32,41.61,16693800,40.98428
16/09/2014,41.29,41.8,41.18,41.64,15232800,41.01383
15/09/2014,41.45,41.58,41.33,41.5,12259600,40.87594
12/09/2014,41.9,41.92,41.36,41.46,12979900,40.83654
11/09/2014,41.68,42.06,41.66,41.95,19614000,41.31917
10/09/2014,41.9,42.19,41.83,42.17,17558000,41.23545
09/09/2014,41.77,42.03,41.75,41.94,11892500,41.01054
08/09/2014,41.67,41.94,41.63,41.78,9097700,40.85409
05/09/2014,41.86,41.86,41.61,41.84,12768100,40.91276
04/09/2014,41.8,42.17,41.73,41.87,16785300,40.9421
03/09/2014,41.69,41.85,41.66,41.78,8635400,40.85409
02/09/2014,41.52,41.84,41.31,41.64,9798100,40.71719
29/08/2014,41.6,41.75,41.47,41.72,7666700,40.79542
28/08/2014,41.51,41.7,41.44,41.63,9746400,40.70742
27/08/2014,41.53,41.71,41.44,41.6,7693100,40.67808
26/08/2014,41.41,41.7,41.41,41.6,8416500,40.67808
25/08/2014,41.32,41.45,41.12,41.41,10229300,40.49229
22/08/2014,41.29,41.52,41.05,41.12,11244600,40.20872
21/08/2014,41.29,41.69,41.22,41.41,11951000,40.49229
20/08/2014,41.15,41.34,41.09,41.25,6782500,40.33583
19/08/2014,41.35,41.48,41.16,41.26,10260400,40.34561
18/08/2014,40.79,41.42,40.79,41.35,14891500,40.43362
15/08/2014,40.85,41.15,40.66,40.88,23221600,39.97404
14/08/2014,39.93,40.19,39.93,40.18,6902000,39.28955
13/08/2014,39.7,40.1,39.7,39.94,9646500,39.05487
12/08/2014,39.56,39.84,39.54,39.68,13297500,38.80063
11/08/2014,39.52,39.87,39.52,39.57,14102600,38.69307
08/08/2014,39.34,39.58,39.26,39.45,13667000,38.57573
07/08/2014,39.96,40.01,39.33,39.35,14367400,38.47794
06/08/2014,39.13,39.96,39.13,39.92,17567500,39.03531
05/08/2014,39.34,39.53,39.1,39.18,11639200,38.31171
04/08/2014,39.41,39.46,39.12,39.4,11012900,38.52684
01/08/2014,39.13,39.49,39.06,39.29,13566700,38.41927
31/07/2014,39.53,39.73,39.25,39.29,15434700,38.41927
30/07/2014,40.45,40.5,39.61,39.62,20346200,38.74196
29/07/2014,40.75,40.78,40.35,40.35,10863600,39.45578
28/07/2014,40.99,41,40.61,40.68,11709100,39.77847
25/07/2014,40.92,41.04,40.81,41,10809900,40.09138
24/07/2014,40.97,41.1,40.66,40.97,14856000,40.06204
23/07/2014,40.98,41.05,40.63,40.81,17531700,39.90559
22/07/2014,41.1,41.33,40.61,41.19,24706000,40.27716
21/07/2014,42.12,42.57,42.09,42.4,17607200,41.46035
