Date,Open,High,Low,Close,Volume,Adj Close
05/11/2014,117.27,117.3,114.86,117.05,6603300,114.84617
04/11/2014,115.99,116.02,114.8,115.37,9585800,113.1978
03/11/2014,119.83,119.97,116.46,116.78,10343300,114.58125
31/10/2014,118.35,120.17,116.39,119.95,10669500,117.69156
30/10/2014,116.18,117.25,115.57,117.2,5174300,114.99334
29/10/2014,118,118.93,116.1,117.14,6873700,114.93447
28/10/2014,116.17,117.27,115.16,117.13,7272600,114.92465
27/10/2014,114.38,115.37,113.46,115.02,6714600,112.85439
24/10/2014,116.19,116.26,114.53,115.91,5507900,113.72763
23/10/2014,116,117.32,114.95,116.19,7195500,114.00236
22/10/2014,115.2,116.24,113.91,114,7211600,111.85359
21/10/2014,113.18,115.17,112.91,115.09,8899700,112.92307
20/10/2014,111.53,112.28,110.97,111.49,8823800,109.39085
17/10/2014,111.78,112.74,110.73,111.8,10895500,109.69501
16/10/2014,107.96,111.32,107.2,111.06,11908400,108.96894
15/10/2014,108.57,109.5,106.65,109.27,15278400,107.21265
14/10/2014,112.6,113.05,109.1,109.78,11541500,107.71304
13/10/2014,113.55,114.59,111.85,112.03,7799100,109.92068
10/10/2014,114.7,115.73,112.88,113.89,9253100,111.74566
09/10/2014,117.02,117.08,114.24,114.51,11489200,112.35399
08/10/2014,115.83,118.25,115.15,117.95,9517400,115.72922
07/10/2014,117.47,118.43,116,116.02,7303800,113.83556
06/10/2014,117.91,119.05,117.28,118.09,5409500,115.86658
03/10/2014,118.16,118.16,116.4,117.71,6298300,115.49374
02/10/2014,117.39,117.9,116.13,117.11,8171200,114.90504
01/10/2014,118.8,119.35,117.38,117.65,8027900,115.43487
30/09/2014,120.51,120.51,118.66,119.32,8385700,117.07343
29/09/2014,120.72,120.74,119.14,120.55,6791500,118.28027
26/09/2014,120.55,122.04,120.02,121.47,5500500,119.18295
25/09/2014,122.2,122.61,120.68,120.68,6466300,118.40782
24/09/2014,123.07,123.07,120.85,122.4,8005900,120.09544
23/09/2014,123.53,123.98,122.86,123.06,5620700,120.743
22/09/2014,124.6,124.92,123.47,123.49,5850500,121.16491
19/09/2014,124.94,125.7,124.65,124.8,10090000,122.45025
18/09/2014,124.85,125.04,123.85,124.14,4683200,121.80267
17/09/2014,125.13,125.49,124.45,124.72,4583500,122.37176
16/09/2014,124.06,125.68,123.61,124.96,6587200,122.60723
15/09/2014,122.35,124.78,122.06,124.24,5437600,121.90079
12/09/2014,123.54,123.66,122.21,122.66,4915600,120.35054
11/09/2014,123.28,124.07,122.41,123.83,6569600,121.49851
10/09/2014,124.46,124.74,123.01,124.28,10941800,121.94003
09/09/2014,124.49,125.79,124.26,125.18,6721600,122.82309
08/09/2014,126.68,126.75,125.69,126.21,4200800,123.83369
05/09/2014,127.15,127.44,126.16,127.4,5035500,125.0013
04/09/2014,128.21001,128.46001,126.2,126.8,5191200,124.41259
03/09/2014,128.45,128.88,127.67,127.86,3846300,125.45263
02/09/2014,129.2,129.38,127.06,127.54,4744500,125.13866
29/08/2014,129,129.53,128.5,129.45,3519000,127.0127
28/08/2014,128.28,128.89999,128.25,128.75,2409000,126.32587
27/08/2014,128.41,128.82001,128.19,128.64,2767000,126.21795
26/08/2014,128.06,128.71001,127.94,128.25,2832400,125.83529
25/08/2014,127.57,128.07001,127.38,127.84,2645700,125.43301
22/08/2014,127.02,127.5,126.47,127.11,3236900,124.71675
21/08/2014,127.68,128.17999,127.18,127.93,2668100,125.52132
20/08/2014,127.25,127.6,126.78,127.49,3230300,125.0896
19/08/2014,126.72,127.7,126.55,127.63,3887800,125.22696
18/08/2014,126.27,126.59,125.63,126.3,4630000,123.922
15/08/2014,126.42,126.79,125.68,126.1,5754300,123.72577
14/08/2014,127.68,127.7,126.53,126.96,4524000,123.51973
13/08/2014,127.64,128.24001,126.87,127.6,3518200,124.14239
12/08/2014,127.14,127.28,126.26,127.09,4944100,123.6462
11/08/2014,128.16,128.67,127.54,127.71,3466500,124.2494
08/08/2014,126.07,127.96,125.91,127.86,4730700,124.39534
07/08/2014,126.19,126.73,124.83,125.65,4650700,122.24522
06/08/2014,124.9,126.97,124.8,125.73,5134900,122.32306
05/08/2014,127.81,127.81,124.58,124.96,8066700,121.57392
04/08/2014,127.69,128.36,126.03,128.17,7360000,124.69694
01/08/2014,127.76,128.96001,126.36,127.9,7377800,124.43426
31/07/2014,131.73,131.97,129.10001,129.24001,7973700,125.73795
30/07/2014,132.97,133.69,131.5,132.53,4601800,128.9388
29/07/2014,132.89999,133.72,132.42,132.42,4189100,128.83177
28/07/2014,133.56,133.8,132.89,133.24001,4625000,129.62956
25/07/2014,134.58,134.61,133.06,133.57001,3702000,129.95062
24/07/2014,134.03,135.10001,133.69,134.85001,5337900,131.19594
23/07/2014,132.7,133.92999,132.48,133.88,4589500,130.25223
22/07/2014,131.55,133.2,131.55,132.58,4391700,128.98744
21/07/2014,130.11,131.34,130.00999,131.28999,3714000,127.73239
18/07/2014,130.64,130.73,129.58,130.39,4339400,126.85678
17/07/2014,130.64,131.5,129.88,130.08,4953600,126.55518
16/07/2014,129.89,130.94,129.69,130.89,4491800,127.34324
15/07/2014,129.07001,129.5,128.61,129.25999,4845000,125.7574
14/07/2014,128.8,129.5,128.38,129.25999,4135800,125.7574
11/07/2014,129.13,129.89,128.03,128.47,5242700,124.98882
10/07/2014,130.48,130.86,129.89999,130.25,4404800,126.72058
09/07/2014,130.27,131.69,129.99001,131.39,5200800,127.82969
08/07/2014,129.7,130.38,129.52,129.89999,4687600,126.38006
07/07/2014,130.44,130.64,130.02,130.47,3660000,126.93462
03/07/2014,131.44,131.59,130.72,131.19,3514000,127.63511
02/07/2014,130.53,130.92,129.99001,130.23,5136800,126.70112
01/07/2014,130.94,131.42,130.46001,130.53999,4000500,127.00272
30/06/2014,130.14999,130.63,129.37,130.55,5698900,127.01245
27/06/2014,130.73,130.95,129.3,130.36,8674700,126.8276
26/06/2014,131.21001,131.22,129.53,130.92,6111400,127.37242
25/06/2014,131.34,132.36,131.00999,131.23,6714200,127.67402
24/06/2014,132.74001,133.46001,131.71001,131.77,8581100,128.1994
23/06/2014,132.52,133.57001,132.42,132.98,11006900,129.3766
20/06/2014,131.95,132.39999,130.88,132.34,11348300,128.75394
19/06/2014,130.28999,132,129.91,131.99001,7419900,128.41344
18/06/2014,128.96001,130.5,128.36,130.28,7697700,126.74976
17/06/2014,127.9,129.03999,127.57,128.83,6720700,125.33906
16/06/2014,127.15,128.81,127.14,128.53999,7065300,125.05691
13/06/2014,125.94,127.26,125.9,127.26,5573600,123.8116
12/06/2014,125.73,126.23,125.42,126.11,6815800,122.69276
11/06/2014,125.13,125.47,124.62,125.18,4570900,121.78796
10/06/2014,124.98,125.37,124.15,125.34,5869400,121.94363
09/06/2014,124.01,124.64,123.88,124.37,3657700,120.99992
06/06/2014,123.7,124.7,123.54,124.19,4295400,120.82479
05/06/2014,122.53,123.78,122.46,123.52,4220600,120.17294
04/06/2014,122.32,122.68,122,122.35,3285500,119.03465
03/06/2014,122.39,122.82,121.72,122.55,3563800,119.22923
02/06/2014,122.93,123.04,122.01,122.21,3689800,118.89844
30/05/2014,122.24,122.88,122.01,122.79,5174700,119.46272
29/05/2014,122.89,122.9,121.65,122.32,6255000,119.00546
28/05/2014,122.9,123.31,122.52,122.52,4702900,119.20004
27/05/2014,123.76,123.99,122.75,122.84,4283300,119.51137
23/05/2014,124.1,124.36,123.33,123.37,3808100,120.02701
22/05/2014,124.1,124.41,123.56,123.63,3262700,120.27996
21/05/2014,123,124.36,122.94,124.16,4758700,120.7956
20/05/2014,122.95,123.1,122.24,122.5,4044400,119.18058
19/05/2014,122.95,123.42,122.85,122.95,4042300,119.61839
16/05/2014,123.96,124.35,122.89,123.18,6435100,119.84216
15/05/2014,125.17,125.5,123.55,123.81,5939500,120.45509
14/05/2014,126.14,126.78,125.76,126.42,4961400,121.95335
13/05/2014,125.57,125.99,124.97,125.85,4415200,121.4035
12/05/2014,125.57,125.57,124.63,125.24,4914700,120.81505
