Date,Open,High,Low,Close,Volume,Adj Close
2014-07-25,103.93,103.99,102.96,103.18,7775500,100.9717
2014-07-24,104.42,104.72,103.95,104.28,7943000,102.04816
2014-07-23,103.64,104.45,103.53,104.25,7007200,102.01881
2014-07-22,103.64,104.19,103.50,103.54,7426300,101.324
2014-07-21,102.36,103.19,102.06,103.08,6632400,100.87385
2014-07-18,102.69,102.96,101.86,102.73,8208300,100.53134
2014-07-17,103.38,103.89,102.29,102.31,8145700,100.12032
2014-07-16,102.56,103.79,102.54,103.77,8870200,101.54907
2014-07-15,102.53,102.60,101.74,102.39,8755800,100.19861
2014-07-14,102.17,103.08,102.16,102.68,8253100,100.48241
2014-07-11,102.40,102.50,101.32,101.74,7680800,99.56252
2014-07-10,102.88,103.07,102.04,102.57,8533700,100.37476
2014-07-09,102.96,103.69,102.81,103.55,7655300,101.33379
2014-07-08,102.33,103.23,102.17,102.83,9613600,100.6292
2014-07-07,102.33,102.65,102.02,102.65,7979600,100.45305
2014-07-03,101.95,103.27,101.68,102.59,6922600,100.39433
2014-07-02,101.15,101.64,101.04,101.57,6954400,99.39616
2014-07-01,101.15,101.59,100.79,101.36,8399600,99.19066
2014-06-30,101.21,101.27,100.52,100.68,9536500,98.52521
2014-06-27,101.67,101.79,100.66,101.21,15147400,99.04387
2014-06-26,101.94,102.38,100.85,102.03,8424200,99.84631
2014-06-25,102.34,102.62,101.53,102.14,10714800,99.95396
2014-06-24,104.18,104.47,102.47,102.73,9708400,100.53134
2014-06-23,104.11,104.61,103.88,104.38,8553700,102.14602
2014-06-20,103.28,104.06,102.94,103.83,17674400,101.6078
2014-06-19,102.61,102.84,101.68,102.63,11105600,100.43347
2014-06-18,102.57,102.95,102.06,102.73,9575100,100.53134
2014-06-17,102.58,102.59,101.45,102.42,9355400,100.22797
2014-06-16,102.57,103.25,102.17,102.92,8977600,100.71727
2014-06-13,101.93,102.66,101.63,102.65,8240300,100.45305
2014-06-12,102.46,102.95,101.57,101.66,11421000,99.48424
2014-06-11,101.19,102.33,101.00,101.95,10270300,99.76803
2014-06-10,101.48,101.73,101.00,101.46,7917500,99.28851
2014-06-09,101.45,101.96,101.19,101.52,6404800,99.34723
2014-06-06,100.61,101.63,100.60,101.60,9340900,99.42552
2014-06-05,100.10,100.83,99.96,100.55,12296100,98.39799
2014-06-04,100.21,100.46,99.96,100.04,7148800,97.89891
2014-06-03,99.59,100.69,99.59,100.39,9384200,98.24142
2014-06-02,100.53,100.88,99.67,99.94,7761300,97.80105
2014-05-30,100.80,101.15,100.37,100.53,11499000,98.37842
2014-05-29,101.54,101.65,101.02,101.27,6113700,99.10258
2014-05-28,101.23,102.07,101.05,101.06,7586700,98.89707
2014-05-27,101.61,101.90,100.93,101.36,8359700,99.19066
2014-05-23,101.55,101.93,101.27,101.32,5410900,99.15151
2014-05-22,101.81,101.97,101.47,101.50,5304300,99.32766
2014-05-21,100.85,102.22,100.72,102.03,7747900,99.84631
2014-05-20,100.69,101.08,100.45,100.67,6134100,98.51542
2014-05-19,100.42,101.11,100.42,100.87,5851400,98.71114
2014-05-16,100.59,101.00,100.32,100.74,10369200,98.58392
2014-05-15,102.00,102.42,100.33,100.78,13658700,98.62307
2014-05-14,102.36,102.68,102.11,102.29,6999200,100.10075
2014-05-13,102.18,102.71,101.94,102.36,7528800,100.16926
2014-05-12,102.33,102.35,101.53,102.23,8830500,100.04204
2014-05-09,101.71,102.18,101.26,101.95,8948800,99.76803
2014-05-08,103.09,103.29,102.17,102.32,8922500,99.45487
2014-05-07,103.12,103.45,102.79,103.11,11007400,100.22276
2014-05-06,102.60,103.30,102.41,102.67,9669800,99.79507
2014-05-05,101.69,103.13,101.58,102.91,7614200,100.02836
2014-05-02,101.28,102.91,100.98,102.01,11168100,99.15356
2014-05-01,101.96,102.39,101.20,101.41,11161700,98.57036
2014-04-30,101.13,102.41,100.71,102.41,13966700,99.54236
2014-04-29,101.57,102.57,101.23,101.45,10094600,98.60924
2014-04-28,100.72,101.46,100.31,101.17,12710800,98.33707
2014-04-25,99.99,100.57,99.93,100.41,10391500,97.59837
2014-04-24,100.48,100.60,99.86,100.01,9057800,97.20956
2014-04-23,100.59,100.95,100.33,100.50,8686000,97.68584
2014-04-22,100.53,100.86,100.22,100.37,8212100,97.55948
2014-04-21,100.03,100.93,99.89,100.93,8002100,98.1038
2014-04-17,99.69,100.97,99.69,100.42,15439800,97.60808
2014-04-16,99.05,100.10,98.97,99.94,12508100,97.14153
2014-04-15,97.58,98.70,97.07,98.68,12961600,95.9168
2014-04-14,97.49,98.06,96.74,97.86,9610200,95.11977
2014-04-11,96.51,97.44,96.28,96.72,13352500,94.01169
2014-04-10,96.98,97.78,96.24,96.78,13443400,94.07
2014-04-09,97.75,97.79,96.63,97.33,10463900,94.60461
2014-04-08,97.01,97.88,96.75,97.45,10243000,94.72124
2014-04-07,97.25,97.53,96.75,96.78,10120700,94.07
2014-04-04,98.30,98.71,97.28,97.36,12496100,94.63377
2014-04-03,97.83,98.54,97.56,97.93,10113000,95.18781
2014-04-02,97.53,98.06,97.18,97.95,9551000,95.20724
2014-04-01,97.65,97.93,97.28,97.73,9475300,94.99341
2014-03-31,98.49,98.85,97.32,97.68,12375200,94.9448
2014-03-28,96.47,97.97,96.47,97.70,12321800,94.96424
2014-03-27,94.61,96.50,94.06,96.24,15427500,93.54512
2014-03-26,95.56,95.58,94.41,94.70,11033300,92.04825
2014-03-25,95.10,95.82,94.80,94.91,9796600,92.25237
2014-03-24,94.76,95.10,94.48,94.64,9539800,91.98993
2014-03-21,95.10,95.99,94.31,94.31,24479800,91.66917
2014-03-20,93.44,94.74,93.01,94.58,10405000,91.93161
2014-03-19,94.65,95.30,93.13,93.73,9914700,91.10542
2014-03-18,94.41,95.25,94.07,94.71,8757300,92.05797
2014-03-17,93.95,94.53,93.75,94.32,8676100,91.67889
2014-03-14,93.58,94.22,93.29,93.47,11723300,90.85269
2014-03-13,94.44,94.57,93.33,93.64,9872500,91.01793
2014-03-12,93.64,94.47,93.55,94.21,9705400,91.57197
2014-03-11,95.36,95.59,93.52,94.01,12143600,91.37757
2014-03-10,95.15,95.55,94.66,95.50,9964500,92.82584
2014-03-07,94.37,95.06,93.99,94.99,12659100,92.33012
2014-03-06,93.67,93.94,93.27,93.76,12610400,91.13457
2014-03-05,95.20,95.29,93.40,93.80,19829600,91.17345
2014-03-04,96.59,96.86,95.87,96.52,12566100,93.81728
2014-03-03,95.76,96.54,94.83,95.50,11896700,92.82584
2014-02-28,95.96,96.83,95.78,96.27,12651400,93.57428
